Datum,Matchtyp,Omgång,Match,Resultat,Spelplats,Publik
19731031,Vänskapsmatch,N/A,IFK&nbspGöteborg – Landala&nbspIF,W 3–1 (1–0),Valhalla&nbspIdrottsplats,
19731021,Division 2 Södra,26,IK&nbspSleipner –&nbspIFK&nbspGöteborg,W 1–3 (0–2),Norrköpings&nbspIdrottspark395,395
19731014,Division 2 Södra,25,IFK&nbspGöteborg – Västra&nbspFrölunda&nbspIF,D 0–0 (0–0),Ullevi1 616,1616
19731007,Division 2 Södra,24,IFK&nbspTrelleborg –&nbspIFK&nbspGöteborg,W 1–3 (1–1),Trelleborgs&nbspIdrottsplats1 543,1543
19730930,Division 2 Södra,23,IFK&nbspGöteborg – Halmstads&nbspBK,W 2–0 (1–0),Ullevi2 289,2289
19730922,Division 2 Södra,22,Kalmar&nbspFF –&nbspIFK&nbspGöteborg,L 4–1 (1–0),Fredriksskans1 834,1834
19730915,Division 2 Södra,21,IFK&nbspGöteborg – IFK&nbspMalmö,W 1–0 (0–0),Ullevi1 667,1667
19730909,Division 2 Södra,20,IFK&nbspGöteborg – Jönköpings&nbspSödra&nbspIF,W 2–0 (2–0),Ullevi1 984,1984
19730830,Division 2 Södra,19,Grimsås&nbspIF –&nbspIFK&nbspGöteborg,L 2–1 (2–1),Grimsborgs&nbspIdrottsplats825,825
19730823,Division 2 Södra,18,IFK&nbspGöteborg – IS&nbspHalmia,W 1–0 (1–0),Ullevi2 501,2501
19730818,Division 2 Södra,17,Skövde&nbspAIK –&nbspIFK&nbspGöteborg,D 1–1 (0–1),Södermalms&nbspIdrottsplats2 413,2413
19730812,Division 2 Södra,16,IFK&nbspGöteborg – Blomstermåla&nbspIK,L 2–3 (0–2),Ullevi2 954,2954
19730804,Division 2 Södra,15,IFK&nbspKristianstad –&nbspIFK&nbspGöteborg,L 3–1 (3–0),Kristianstad&nbspIdrottsplats3 038,3038
19730729,Division 2 Södra,14,Hässleholms&nbspIF –&nbspIFK&nbspGöteborg,L 4–1 (2–1),Göingevallen1 857,1857
19730721,Vänskapsmatch,N/A,IFK&nbspGöteborg – IFK&nbspSundsvall,W 3–2 (2–0),Marstrandsvallen1 250,1250
19730718,Vänskapsmatch,N/A,IFK&nbspGöteborg – Åtvidabergs&nbspFF,L 0–3 (0–2),Gamla&nbspUllevi (1916)3 243,3243
19730705,Vänskapsmatch,N/A,IFK&nbspTrollhättan –&nbspIFK&nbspGöteborg,W 0–3,Edsborgs&nbspIdrottsplats468,468
19730627,Division 2 Södra,13,IFK&nbspGöteborg – Hässleholms&nbspIF,D 0–0 (0–0),Ullevi4 278,4278
