Namn,I Blåvitt,Matcher,Mål,Allsvenska Matcher,Allsvenska Mål
GUNNESSON Ingvar,1942/43-1943/44,2,0,0,0
HÖGBERG Oskar,1942/43,1,0,0,0
KRISTIANSSON Åke,1942/43-1945/46,109,60,64,24
LANDGREN Stig,1942/43,2,0,0,0
LINDÉN Åke,"1942/43, 1949/50-1951/52, 1954/55",14,0,2,0
OLSSON Filip,1942/43-1943/44,4,4,0,0
OLSSON Rune,1942/43,1,0,0,0
PERSSON Manne,1942/43-1946/47,28,0,10,0
PETTERSSON Rune,1942/43-1943/44,13,0,5,0
PÅLSSON Ragnvald,1942/43-1948/49,191,2,109,0
SCHMIDT Gösta,1942/43-1949/50,39,3,13,0
ANDERSSON Henry,"1943/44-1956/57, 1959-1962",417,0,245,0
LARSSON Henry,1943/44-1953/54,330,13,158,5
SWERIN Gösta,1943/44,5,0,1,0
ALDEBRINK Villy,"1944/45-1948/49, 1950/51-1951/52",63,47,33,16
ANDERSSON Göte,1944/45,3,0,0,0
BRUFELT Allan,1944/45-1948/49,86,22,44,6
FALKENSTRÖM Lennart,1944/45-1946/47,7,0,0,0
GUSTAFSSON Ove,1944/45,2,0,0,0
HAGBERG Harry,1944/45,1,1,0,0
HANSSON Gustaf,1944/45-1946/47,7,4,2,0
JOHANSSON Rune,"1944/45, 1946/47",3,0,0,0
OLSSON Arthur,1944/45,1,1,0,0
THUNBERG Carl-Olof,1944/45-1945/46,2,0,0,0
AGERNÄS Bror,1945/46-1946/47,4,1,0,0
SAMUELSSON Morgan,"1945/46-1946/47, 1949/50",25,4,12,1
APPELGREN Sven,"1946/47-1953/54, 1955/56-1956/57",147,7,57,2
BJÖRKMAN Leif,1946/47-1951/52,93,0,45,0
GRAHN Evert,1946/47-1948/49,47,30,28,12
HANSSON Holger,1946/47-1961,436,23,236,10
PETTERSSON Roland,1946/47,1,0,0,0
ANDERSSON Gunnar,"1947/48, 1949/50",11,17,2,0
ANDERSSON Sven,1947/48-1954/55,70,0,12,0
ANDERSSON Tage,1947/48-1948/49,4,0,0,0
GREN Bertil,1947/48,1,0,1,0
GRÖNVALL Helge,1947/48-1951/52,24,4,8,0
JOHANSSON Lennart,1947/48-1949/50,42,22,23,13
LINDAHL Gunnar,1947/48-1950/51,82,0,42,0
EKNER Dan,1948/49-1949/50,37,26,19,12
FLINK Lennart,1948/49-1950/51,40,0,11,0
LARSSON Rolf,1948/49-1949/50,11,9,6,2
RYLANDER Bertil,1948/49-1951/52,42,33,3,1
SEGERDAHL Stig,1948/49-1951/52,45,9,14,2
SJÖBLOM Sven,1948/49-1955/56,180,102,79,17
BÖRJESSON Reino,1949/50-1952/53,98,53,33,16
EDSTRÖM Sten,1949/50-1951/52,5,1,0,0
ERIKSSON Lars-Erik,1949/50-1950/51,17,4,5,0
FAGERMAN Bert,"1949/50, 1952/53-1953/54",24,8,13,3
GRANQVIST Tryggve,1949/50-1951/52,47,40,8,10
HOLMSTEDT Allan,1949/50-1951/52,24,6,3,1
HÖGBERG Ingemar,1949/50,1,0,0,0
JANGBLAD Lars,1949/50-1953/54,98,84,47,23
JOHANSSON Bengt,1949/50,1,0,0,0
JOHANSSON Roger,1949/50-1955/56,63,5,24,0
JOHANSSON Sven,1949/50-1950/51,6,0,0,0
KÄLLSTRÖM Rolf,1949/50-1951/52,74,11,13,1
LUDVIGSSON Åke,1949/50-1950/51,9,1,1,0
MAGNUSSON Bernt,1949/50,1,0,0,0
THELANDER Eric,1949/50-1952/53,17,0,0,0
ANDERSSON Arne,1950/51,1,0,0,0
ANDREASSON Conny,1950/51,1,0,0,0
BERNDTSSON Bengt,1950/51-1967,599,125,348,69
JOHANSSON Tore,1950/51,2,0,0,0
KARLSSON Gerhard,1950/51,1,0,0,0
KJELLMAN Rune,1950/51-1954/55,75,1,29,0
MATTSSON Lennart,1950/51,1,2,0,0
NILSSON Gunnar,1950/51,2,2,0,0
SVANTESSON Allan,1950/51,12,2,0,0
TÄLL Gerhard,1950/51-1951/52,4,2,0,0
ALMQVIST Rolf,"1951/52-1952/53, 1954/55",37,0,25,0
ANDERSSON Lars,"1951/52, 1954/55-1959",53,0,30,0
ANDERSSON Lennart,1951/52-1952/53,32,12,5,1
EKEROTH Nils,1951/52-1962,259,1,140,1
GÖRANSSON Kurt,1951/52-1954/55,13,1,4,0
HANSSON Kjell,1951/52,6,0,0,0
LUNDVALL Roland,1951/52,4,1,0,0
PETTERSSON Ingemar,1951/52,1,0,0,0
RENNEBY Erik,1951/52-1953/54,16,0,6,0
FÄRNSTRÖM Axel,1952/53-1956/57,103,42,55,12
HANSSON Per-Olof,"1952/53-1959, 1961",209,25,109,9
JANSSON Karl-Gunnar,1952/53-1953/54,5,2,0,0
LUNDQVIST Arne,1952/53-1953/54,8,2,4,0
NILSSON Kurt,1952/53,5,1,0,0
NORÉN Åke,1952/53-1959,254,29,141,18
RUTHBERG Gunnar,1952/53,5,1,1,0
STRÖM Lennart,1952/53-1953/54,2,0,0,0
JONSSON Nils,1953/54-1961,295,7,157,1
LUNDGREN Sten,1953/54-1959,59,38,22,6
LUNDQVIST Ingvar,1953/54-1955/56,24,7,9,1
LÖFVENDAHL Bert,"1953/54, 1959",2,0,0,0
NERTBY Herbert,1953/54-1954/55,3,0,0,0
THELIN Ove,1953/54-1954/55,23,8,9,2
BRUNBÄCK Hans,1954/55-1955/56,4,0,2,0
DÖNELL Rolf,1954/55,6,2,1,0
HENRIKSSON Lars,1954/55-1956/57,50,0,27,0
JOHANSSON Bertil,1954/55-1968,461,291,268,162
JOHANSSON Eje,1954/55-1955/56,2,0,0,0
JOHANSSON Ronald,1954/55-1959,101,0,44,0
MATTIASSON Harris,1954/55-1957/58,85,67,43,19
NILSSON Lennart,1954/55-1965,333,0,165,0
SVENSSON Sami,1954/55,4,0,2,0
ANDERSSON Lennart,1955/56-1962,103,20,45,9
ATTEMALM Bernt,1955/56-1960,54,21,23,7
JOHANSSON Allan,1955/56-1960,71,3,27,0
JOHANSSON Nils,1955/56-1967,410,68,218,20
JOHANSSON Rolf,1955/56-1956/57,6,5,3,1
OHLSSON Owe,1955/56-1964,297,243,165,101
ANDERSSON Roger,"1956/57, 1959",2,1,0,0
ERIKSSON Rolf,1956/57-1957/58,3,0,0,0
JOHANNISSON Leif,1956/57,1,0,0,0
LINDBLOM Donald,1956/57-1957/58,6,0,0,0
NYBERG Ralph,"1956/57-1959, 1963-1966",91,14,41,6
PERSSON Sven,1956/57,1,0,0,0
PETTERSSON Bengt,1956/57-1959,6,3,0,0
HELMÉR Ove,1957/58-1960,24,11,7,0
JOHANSSON Göran,1957/58,1,0,0,0
KJELLBERG Kurt,1957/58-1959,6,3,1,0
SMITH Einar,1957/58,2,0,0,0
WENDT Leif,1957/58,1,0,0,0
ALEXANDERSSON Ruben,1959,1,0,0,0
